node_id,node_name,node_type,technology,hardware,software_version,ip_address,latitude,longitude,region,installation_date,cpu_cores,ram_gb,max_power_watts,max_temperature_c,interface_count,has_ups,rack_position
1,CT4-0001,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-20.1.0,10.10.0.76,31.325674,-111.169831,Northeast,2022-03-17,8,16,1150,48,10,True,
2,CT4-0002,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-11.3.7,172.20.0.29,38.846431,-93.254012,West,2022-01-21,8,16,1150,48,10,True,
3,CT4-0003,Cell Tower 4G,4G,Nokia Flexi Multiradio,4G-LTE-10.2.13,10.30.0.12,31.391041,-111.588371,Midwest,2022-06-11,6,12,980,50,8,True,
4,CT4-0004,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-15.9.8,10.40.0.71,41.783831,-94.579911,Southwest,2022-12-06,8,16,1200,45,12,False,
5,CT4-0005,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-19.5.6,10.30.0.30,26.599768,-87.953044,Midwest,2024-01-04,8,16,1150,48,10,True,
6,CT4-0006,Cell Tower 4G,4G,Nokia Flexi Multiradio,4G-LTE-17.5.5,10.10.0.69,33.171226,-87.480716,Northeast,2023-03-15,6,12,980,50,8,True,
7,CT4-0007,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-16.4.7,10.10.0.5,32.458503,-82.27938,Northeast,2022-10-21,8,16,1150,48,10,True,
8,CT4-0008,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.3.10,10.40.0.34,40.075089,-102.031509,Southwest,2023-10-17,8,16,1200,45,12,True,
9,CT4-0009,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-18.8.8,172.19.0.29,38.445478,-75.415387,Southwest,2023-10-19,8,16,1150,48,10,True,
10,CT4-0010,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.0.3,10.40.0.50,39.431259,-81.019794,Southwest,2022-06-08,8,16,1200,45,12,True,
11,CT4-0011,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-17.8.8,172.16.0.99,44.797933,-122.391506,Northeast,2022-09-01,8,16,1150,48,10,True,
12,CT4-0012,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-16.2.14,10.30.0.65,46.937766,-76.579794,Midwest,2023-12-24,8,16,1200,45,12,False,
13,CT4-0013,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-14.8.6,10.50.0.77,33.600019,-114.437901,West,2022-10-04,8,16,1200,45,12,True,
14,CT4-0014,Cell Tower 4G,4G,Ericsson RBS 6000,4G-LTE-11.5.9,10.10.0.94,26.332279,-76.465491,Northeast,2021-11-06,8,16,1200,45,12,False,
15,CT4-0015,Cell Tower 4G,4G,Huawei DBS3900,4G-LTE-18.2.4,172.18.0.28,35.931495,-93.86041,Midwest,2021-07-20,8,16,1150,48,10,False,
16,CT5-0016,Cell Tower 5G,5G,Nokia AirScale,5G-NR-21.3.9,172.19.0.16,47.888435,-88.556463,Southwest,2023-03-09,12,24,1500,48,16,True,
17,CT5-0017,Cell Tower 5G,5G,Samsung Massive MIMO,5G-NR-15.0.7,10.10.0.9,30.065,-119.237366,Northeast,2024-05-25,16,32,1700,46,24,False,
18,CT5-0018,Cell Tower 5G,5G,Nokia AirScale,5G-NR-11.8.7,172.17.0.32,40.386489,-111.645449,Southeast,2021-12-03,12,24,1500,48,16,False,
19,CT5-0019,Cell Tower 5G,5G,Samsung Massive MIMO,5G-NR-13.1.3,10.40.0.87,34.914177,-100.550333,Southwest,2024-01-09,16,32,1700,46,24,True,
20,CT5-0020,Cell Tower 5G,5G,Ericsson AIR 6488,5G-NR-21.5.3,172.17.0.24,29.406572,-94.576855,Southeast,2023-01-05,16,32,1800,45,24,True,
21,CT5-0021,Cell Tower 5G,5G,Ericsson AIR 6488,5G-NR-11.7.3,10.10.0.97,39.999333,-94.348839,Northeast,2023-04-01,16,32,1800,45,24,True,
22,CT5-0022,Cell Tower 5G,5G,Nokia AirScale,5G-NR-17.7.6,172.16.0.34,45.756186,-114.274233,Northeast,2022-01-09,12,24,1500,48,16,True,
23,CT5-0023,Cell Tower 5G,5G,Ericsson AIR 6488,5G-NR-21.8.15,10.10.0.96,29.367651,-111.461852,Northeast,2022-10-25,16,32,1800,45,24,True,
24,CT5-0024,Cell Tower 5G,5G,Ericsson AIR 6488,5G-NR-19.7.5,10.20.0.77,47.097915,-118.754092,Southeast,2024-03-11,16,32,1800,45,24,True,
25,CT5-0025,Cell Tower 5G,5G,Samsung Massive MIMO,5G-NR-13.6.3,10.50.0.54,30.662953,-91.490485,West,2021-08-23,16,32,1700,46,24,True,
26,FN-0026,Fiber Node,Fiber,Cisco ONS 15454,FOS-14.3.10,172.18.0.41,31.109134,-116.063451,Midwest,2024-03-02,12,64,2200,50,48,True,
27,FN-0027,Fiber Node,Fiber,Cisco ONS 15454,FOS-19.9.3,172.17.0.9,37.365591,-96.188111,Southeast,2023-03-16,12,64,2200,50,48,True,
28,FN-0028,Fiber Node,Fiber,Ciena 6500,FOS-12.7.9,10.50.0.86,47.628626,-80.223703,West,2021-06-19,16,96,2500,50,56,True,
29,FN-0029,Fiber Node,Fiber,Juniper PTX Series,FOS-20.1.4,10.50.0.35,27.654859,-117.327093,West,2022-12-29,32,128,3000,55,64,True,
30,FN-0030,Fiber Node,Fiber,Ciena 6500,FOS-21.5.6,172.19.0.7,39.587473,-109.008853,Southwest,2024-01-21,16,96,2500,50,56,True,
31,FN-0031,Fiber Node,Fiber,Juniper PTX Series,FOS-14.0.0,10.30.0.95,42.735742,-89.232991,Midwest,2022-02-05,32,128,3000,55,64,True,
32,FN-0032,Fiber Node,Fiber,Cisco ONS 15454,FOS-16.8.0,10.20.0.48,26.730609,-76.195361,Southeast,2021-06-23,12,64,2200,50,48,True,
33,FN-0033,Fiber Node,Fiber,Juniper PTX Series,FOS-12.0.9,172.16.0.27,45.676574,-80.805518,Northeast,2023-03-05,32,128,3000,55,64,True,
34,FN-0034,Fiber Node,Fiber,Ciena 6500,FOS-15.8.13,10.20.0.23,42.237985,-73.934517,Southeast,2022-04-06,16,96,2500,50,56,True,
35,FN-0035,Fiber Node,Fiber,Ciena 6500,FOS-21.5.13,10.30.0.90,44.873473,-80.030286,Midwest,2023-12-20,16,96,2500,50,56,True,
36,CN-0036,Cable Node,Cable,Arris E6000,DOCSIS-10.7.7,10.30.0.29,43.781492,-98.603929,Midwest,2024-06-10,16,64,1800,48,32,True,
37,CN-0037,Cable Node,Cable,Arris E6000,DOCSIS-16.5.8,172.20.0.87,47.238449,-108.206375,West,2021-07-26,16,64,1800,48,32,True,
38,CN-0038,Cable Node,Cable,Arris E6000,DOCSIS-10.1.8,10.10.0.77,38.353564,-70.87182,Northeast,2022-02-20,16,64,1800,48,32,True,
39,CN-0039,Cable Node,Cable,Casa Systems C100G,DOCSIS-15.6.3,172.16.0.1,45.688609,-112.925825,Northeast,2021-08-29,24,96,2000,50,40,False,
40,CN-0040,Cable Node,Cable,Casa Systems C100G,DOCSIS-18.3.11,172.18.0.85,26.609398,-87.795403,Midwest,2023-11-16,24,96,2000,50,40,False,
41,CN-0041,Cable Node,Cable,Harmonic CableOS,DOCSIS-14.8.9,10.30.0.25,34.393037,-101.672779,Midwest,2022-03-20,16,64,1600,45,28,True,
42,CN-0042,Cable Node,Cable,Casa Systems C100G,DOCSIS-16.2.9,10.30.0.56,37.602556,-122.978485,Midwest,2022-10-08,24,96,2000,50,40,True,
43,CN-0043,Cable Node,Cable,Harmonic CableOS,DOCSIS-17.3.15,172.20.0.12,28.902902,-118.505837,West,2023-04-04,16,64,1600,45,28,True,
44,CN-0044,Cable Node,Cable,Arris E6000,DOCSIS-13.3.4,10.50.0.59,26.062916,-70.851391,West,2022-04-02,16,64,1800,48,32,False,
45,CN-0045,Cable Node,Cable,Casa Systems C100G,DOCSIS-19.3.12,10.10.0.100,34.192016,-115.178719,Northeast,2022-03-11,24,96,2000,50,40,True,
46,DCR-0046,Data Center Router,Core Network,Cisco ASR 9000,IOS-XR-21.8.14,172.16.0.18,37.820333,-74.374089,Northeast,2021-12-20,48,192,4000,55,96,True,Rack-36-U39
47,DCR-0047,Data Center Router,Core Network,Nokia 7750,IOS-XR-15.7.13,172.19.0.34,35.256013,-114.564631,Southwest,2023-03-10,32,192,3500,55,72,False,Rack-18-U34
48,DCR-0048,Data Center Router,Core Network,Juniper MX Series,IOS-XR-17.3.8,172.18.0.41,26.782117,-107.856408,Midwest,2021-07-18,36,256,3800,60,80,True,Rack-10-U15
49,DCR-0049,Data Center Router,Core Network,Cisco ASR 9000,IOS-XR-16.2.6,172.19.0.8,34.541962,-105.463286,Southwest,2023-06-01,48,192,4000,55,96,False,Rack-25-U38
50,DCR-0050,Data Center Router,Core Network,Juniper MX Series,IOS-XR-21.0.12,172.19.0.69,25.13561,-104.356783,Southwest,2021-07-06,36,256,3800,60,80,False,Rack-15-U32
